date,Open,High,Low,Close,Volume
1/2/2015,"148,579,998.00","1,488,333,321.00","1,421,733,284.00","1,462,066,746.00","71,466,000.00"
1/5/2015,"1,430,333,328.00","144,333,334.00","1,381,066,704.00","1,400,599,957.00","80,527,500.00"
1/6/2015,"1,400,399,971.00","1,427,999,973.00","1,361,400,032.00","1,408,533,287.00","93,928,500.00"
1/7/2015,"1,422,333,336.00","1,431,866,741.00","1,398,533,344.00","1,406,333,256.00","44,526,000.00"
1/8/2015,"1,418,733,311.00","1,425,333,309.00","1,400,066,662.00","140,413,332.00","51,637,500.00"
1/9/2015,"1,392,800,045.00","1,399,866,676.00","1,366,399,956.00","1,377,733,326.00","70,024,500.00"
1/12/2015,"1,353,666,687.00","1,363,133,335.00","1,328,333,282.00","1,348,066,711.00","89,254,500.00"
1/13/2015,"1,355,466,747.00","1,384,066,677.00","1,339,400,005.00","1,361,666,679.00","67,159,500.00"
1/14/2015,"1,238,866,711.00","1,301,333,332.00","1,233,333,302.00","1,284,599,972.00","173,278,500.00"
1/15/2015,"129,659,996.00","1,305,000,019.00","1,266,666,698.00","127,913,332.00","78,247,500.00"
1/16/2015,"1,271,333,313.00","129,659,996.00","1,264,333,344.00","1,287,133,312.00","54,048,000.00"
1/20/2015,"1,292,466,736.00","1,294,133,282.00","124,693,327.00","1,279,533,291.00","67,548,000.00"
1/21/2015,"1,263,666,725.00","1,324,533,272.00","1,263,399,982.00","1,310,466,671.00","62,295,000.00"
1/22/2015,"1,313,333,321.00","1,354,933,262.00","1,301,333,332.00","1,344,133,282.00","61,753,500.00"
1/23/2015,"1,335,266,685.00","135,666,666.00","1,322,200,012.00","1,341,933,346.00","51,579,000.00"
1/26/2015,"1,345,533,276.00","1,390,799,999.00","1,340,333,271.00","1,377,000,046.00","48,517,500.00"
1/27/2015,"1,362,800,026.00","1,386,866,665.00","1,355,333,328.00","1,373,200,035.00","41,715,000.00"
1/28/2015,"1,374,066,734.00","1,375,800,037.00","1,322,799,969.00","132,913,332.00","47,244,000.00"
1/29/2015,"134,046,669.00","1,373,200,035.00","1,310,000,038.00","1,368,000,031.00","53,221,500.00"
1/30/2015,"1,359,733,295.00","1,383,133,316.00","1,353,333,282.00","1,357,333,279.00","45,105,000.00"
2/2/2015,"1,359,799,957.00","1,413,000,011.00","1,355,333,328.00","1,406,266,689.00","62,238,000.00"
2/3/2015,"1,421,466,732.00","1,469,133,282.00","1,408,466,721.00","1,455,733,299.00","72,393,000.00"
2/4/2015,"1,455,266,666.00","1,476,533,318.00","144,533,329.00","1,456,999,969.00","49,581,000.00"
2/5/2015,"1,465,866,661.00","1,503,199,959.00","1,464,266,682.00","1,473,266,697.00","52,843,500.00"
2/6/2015,"1,480,000,019.00","1,489,333,344.00","144,333,334.00","1,449,066,734.00","48,658,500.00"
2/9/2015,"1,435,866,737.00","1,452,866,745.00","1,413,266,659.00","1,449,866,676.00","52,086,000.00"
2/10/2015,"1,450,333,309.00","1,469,999,981.00","1,433,333,302.00","1,441,933,346.00","80,857,500.00"
2/11/2015,"1,414,733,315.00","1,431,599,998.00","1,381,866,741.00","1,418,666,744.00","146,536,500.00"
2/12/2015,"129,046,669.00","1,353,933,334.00","1,288,533,306.00","135,253,334.00","234,744,000.00"
2/13/2015,"1,352,666,664.00","1,373,266,697.00","1,339,400,005.00","1,358,466,721.00","92,865,000.00"
2/17/2015,"1,371,333,313.00","1,371,333,313.00","134,333,334.00","1,362,333,298.00","59,694,000.00"
2/18/2015,"1,361,133,289.00","1,374,466,705.00","1,350,666,714.00","1,363,066,673.00","40,704,000.00"
2/19/2015,"1,366,666,698.00","1,416,266,727.00","1,358,333,302.00","1,411,400,032.00","77,311,500.00"
2/20/2015,"1,405,200,005.00","1,450,666,714.00","139,873,333.00","1,447,399,998.00","89,731,500.00"
2/23/2015,"1,437,733,269.00","145,466,671.00","1,375,533,295.00","1,382,266,712.00","127,497,000.00"
2/24/2015,"1,381,933,308.00","1,381,933,308.00","1,344,666,672.00","1,360,733,318.00","99,054,000.00"
2/25/2015,"1,366,266,727.00","1,380,933,285.00","1,350,533,295.00","1,358,399,963.00","58,642,500.00"
2/26/2015,"1,360,000,038.00","1,407,266,712.00","1,348,133,278.00","1,381,266,689.00","97,093,500.00"
2/27/2015,"1,379,333,305.00","1,390,333,271.00","1,352,000,046.00","1,355,599,976.00","58,231,500.00"
3/2/2015,"1,351,333,332.00","1,355,599,976.00","1,305,533,314.00","1,315,533,257.00","118,831,500.00"
3/3/2015,"1,312,066,746.00","1,334,933,281.00","1,302,133,274.00","133,039,999.00","66,484,500.00"
3/4/2015,"1,328,333,282.00","1,350,133,324.00","1,314,733,315.00","1,349,600,029.00","63,330,000.00"
3/5/2015,"135,233,326.00","1,374,600,029.00","1,334,333,324.00","1,337,533,283.00","73,155,000.00"
3/6/2015,"132,806,673.00","1,338,333,321.00","1,281,000,042.00","1,292,533,302.00","100,686,000.00"
3/9/2015,"1,295,933,342.00","129,659,996.00","1,255,000,019.00","1,272,533,321.00","101,050,500.00"
3/10/2015,"1,256,400,013.00","1,289,999,962.00","1,250,666,714.00","1,268,799,973.00","83,695,500.00"
3/11/2015,"1,274,333,286.00","1,307,866,669.00","1,273,400,021.00","1,291,600,037.00","74,623,500.00"
3/12/2015,"1,291,666,698.00","1,296,333,313.00","1,264,999,962.00","1,273,799,992.00","62,239,500.00"
3/13/2015,"1,259,666,729.00","1,278,333,282.00","1,248,799,992.00","1,257,866,669.00","81,514,500.00"
3/16/2015,"1,280,000,019.00","1,306,066,704.00","1,265,333,271.00","130,466,671.00","84,432,000.00"
3/17/2015,"1,302,866,745.00","1,324,733,257.00","1,292,933,273.00","1,298,200,035.00","73,411,500.00"
3/18/2015,"1,299,733,257.00","133,920,002.00","128,739,996.00","1,338,066,673.00","72,313,500.00"
3/19/2015,"1,346,666,718.00","1,363,933,277.00","1,296,866,703.00","1,304,333,305.00","127,128,000.00"
3/20/2015,"1,316,333,294.00","1,326,599,979.00","130,413,332.00","1,320,533,276.00","64,042,500.00"
3/23/2015,"1,323,333,263.00","1,336,666,679.00","1,316,466,713.00","1,330,866,718.00","39,474,000.00"
3/24/2015,"134,386,673.00","1,358,600,044.00","133,166,666.00","1,344,799,995.00","54,748,500.00"
3/25/2015,"1,321,800,041.00","1,323,933,315.00","1,284,666,729.00","129,533,329.00","85,956,000.00"
3/26/2015,"1,292,800,045.00","1,298,600,006.00","1,264,666,653.00","1,269,400,024.00","61,920,000.00"
3/27/2015,"1,260,466,671.00","1,261,933,327.00","1,209,333,324.00","1,233,333,302.00","129,073,500.00"
3/30/2015,"1,239,000,034.00","128,166,666.00","1,211,999,989.00","1,270,466,709.00","151,342,500.00"
3/31/2015,"1,290,200,043.00","1,291,733,265.00","1,256,066,704.00","1,258,466,721.00","75,399,000.00"
4/1/2015,"1,257,999,992.00","1,281,999,969.00","1,240,333,271.00","1,250,599,957.00","56,919,000.00"
4/2/2015,"1,268,200,016.00","1,288,199,997.00","1,266,666,698.00","1,273,333,263.00","75,156,000.00"
4/6/2015,"1,319,999,981.00","1,385,000,038.00","1,316,666,698.00","1,353,999,996.00","186,837,000.00"
4/7/2015,"1,350,066,662.00","1,367,066,669.00","1,340,933,323.00","1,355,000,019.00","65,218,500.00"
4/8/2015,"1,388,000,011.00","1,406,000,042.00","137,246,666.00","1,384,466,743.00","94,546,500.00"
4/9/2015,"1,389,533,329.00","1,402,466,679.00","1,374,133,301.00","1,400,599,957.00","57,003,000.00"
4/10/2015,"1,398,999,977.00","1,410,999,966.00","139,333,334.00","1,406,000,042.00","61,015,500.00"
4/13/2015,"1,402,933,311.00","1,419,999,981.00","1,393,666,744.00","1,398,533,344.00","56,373,000.00"
4/14/2015,"139,046,669.00","139,659,996.00","1,369,999,981.00","1,383,066,654.00","45,390,000.00"
4/15/2015,"1,383,066,654.00","1,397,266,674.00","137,733,326.00","1,385,533,333.00","29,286,000.00"
4/16/2015,"1,384,666,729.00","1,394,466,686.00","1,375,266,743.00","1,377,999,973.00","24,886,500.00"
4/17/2015,"1,366,600,037.00","1,379,199,982.00","135,666,666.00","1,378,600,025.00","37,048,500.00"
4/20/2015,"1,378,533,268.00","1,385,666,656.00","1,359,000,015.00","1,368,466,663.00","38,389,500.00"
4/21/2015,"1,372,000,027.00","1,405,000,019.00","1,362,066,746.00","1,396,066,666.00","51,487,500.00"
4/22/2015,"1,416,666,698.00","1,479,199,982.00","1,411,266,708.00","1,462,933,254.00","117,945,000.00"
4/23/2015,"1,455,133,343.00","1,476,533,318.00","144,766,674.00","1,457,333,279.00","66,168,000.00"
4/24/2015,"1,469,999,981.00","1,472,000,027.00","145,340,004.00","1,456,200,027.00","36,417,000.00"
4/27/2015,"1,483,733,273.00","1,591,666,698.00","1,480,000,019.00","1,543,666,744.00","175,089,000.00"
4/28/2015,"1,564,999,962.00","1,569,999,981.00","1,520,199,966.00","153,653,326.00","91,281,000.00"
4/29/2015,"1,533,666,706.00","1,566,466,713.00","1,517,533,302.00","1,549,666,691.00","59,041,500.00"
4/30/2015,"1,535,933,304.00","1,552,600,002.00","1,501,133,347.00","1,506,999,969.00","58,678,500.00"
5/1/2015,"1,532,933,331.00","1,545,133,305.00","1,469,400,024.00","1,506,866,741.00","79,225,500.00"
5/4/2015,"1,521,199,989.00","1,564,866,734.00","1,514,066,696.00","1,536,733,341.00","66,519,000.00"
5/5/2015,"15,850,667.00","1,596,666,718.00","152,753,334.00","1,552,999,973.00","86,953,500.00"
5/6/2015,"1,560,666,656.00","1,563,133,335.00","1,521,333,313.00","1,536,200,047.00","79,063,500.00"
5/7/2015,"1,473,333,263.00","1,583,199,978.00","146,833,334.00","1,578,666,687.00","141,838,500.00"
5/8/2015,"1,573,266,697.00","1,589,400,005.00","1,557,999,992.00","1,577,400,017.00","70,023,000.00"
5/11/2015,"1,575,266,743.00","1,619,199,944.00","1,568,733,311.00","159,659,996.00","85,084,500.00"
5/12/2015,"1,600,733,376.00","1,642,333,221.00","1,587,933,254.00","1,631,599,998.00","95,451,000.00"
5/13/2015,"1,650,733,376.00","1,655,333,328.00","1,614,999,962.00","1,621,199,989.00","81,603,000.00"
5/14/2015,"1,632,133,293.00","1,632,600,021.00","1,608,333,206.00","162,733,326.00","43,438,500.00"
5/15/2015,"1,626,199,913.00","1,662,666,702.00","1,616,666,794.00","1,658,933,258.00","67,914,000.00"
5/18/2015,"1,646,666,718.00","1,665,999,985.00","1,639,999,962.00","1,658,333,206.00","50,298,000.00"
5/19/2015,"1,656,200,027.00","1,673,333,359.00","1,640,999,985.00","1,647,599,983.00","55,113,000.00"
5/20/2015,"1,647,533,226.00","1,651,600,075.00","1,609,133,339.00","1,629,000,092.00","56,334,000.00"
5/21/2015,"1,620,199,966.00","1,644,133,377.00","1,615,733,337.00","1,637,466,621.00","29,559,000.00"
5/22/2015,"1,635,866,737.00","1,657,333,374.00","1,633,399,963.00","1,651,533,318.00","33,346,500.00"
5/26/2015,"1,651,199,913.00","1,679,999,924.00","1,643,333,244.00","1,649,733,353.00","52,480,500.00"
5/27/2015,"1,656,733,322.00","1,663,333,321.00","1,637,000,084.00","1,649,533,272.00","51,123,000.00"
5/28/2015,"1,646,866,608.00","1,678,666,687.00","1,633,666,611.00","1,676,333,237.00","54,709,500.00"
5/29/2015,"1,673,333,359.00","168,579,998.00","1,662,866,783.00","1,671,999,931.00","56,839,500.00"
6/1/2015,"167,606,678.00","167,733,326.00","1,649,799,919.00","1,662,999,916.00","37,576,500.00"
6/2/2015,"1,659,466,743.00","1,662,666,702.00","1,642,000,008.00","1,655,666,733.00","32,022,000.00"
6/3/2015,"165,466,671.00","1,671,466,637.00","1,646,733,284.00","1,659,933,281.00","26,722,500.00"
6/4/2015,"16,5","1,662,000,084.00","1,638,066,673.00","1,639,466,667.00","36,804,000.00"
6/5/2015,"1,639,999,962.00","1,664,666,748.00","1,637,866,783.00","1,660,933,304.00","45,330,000.00"
6/8/2015,"1,672,333,336.00","17,25","1,668,733,215.00","1,708,600,044.00","75,255,000.00"
6/9/2015,"1,702,666,664.00","1,718,266,678.00","1,694,266,701.00","1,706,666,756.00","39,166,500.00"
6/10/2015,"1,679,333,305.00","1,693,333,244.00","1,656,666,756.00","1,671,333,313.00","51,817,500.00"
6/11/2015,"1,688,400,078.00","1,695,800,018.00","1,669,533,348.00","167,606,678.00","30,661,500.00"
6/12/2015,"1,668,066,788.00","1,689,733,315.00","1,668,066,788.00","1,671,266,747.00","21,334,500.00"
6/15/2015,"1,664,666,748.00","1,675,200,081.00","1,640,066,719.00","1,669,199,944.00","32,793,000.00"
6/16/2015,"1,667,533,302.00","1,689,599,991.00","1,660,666,656.00","1,687,466,621.00","29,770,500.00"
6/17/2015,"168,113,327.00","1,762,400,055.00","1,680,133,247.00","1,736,066,628.00","82,693,500.00"
6/18/2015,"1,746,666,718.00","1,756,399,918.00","1,733,466,721.00","1,745,933,342.00","41,740,500.00"
6/19/2015,"1,749,333,382.00","1,758,666,611.00","1,734,000,015.00","1,750,066,757.00","36,945,000.00"
6/22/2015,"174,766,674.00","1,762,666,702.00","1,704,599,953.00","1,731,933,212.00","68,416,500.00"
6/23/2015,"1,735,466,766.00","1,786,666,679.00","1,723,800,087.00","1,784,466,743.00","58,062,000.00"
6/24/2015,"1,779,866,791.00","1,782,333,374.00","1,758,133,316.00","176,779,995.00","36,184,500.00"
6/25/2015,"1,776,333,237.00","1,809,399,986.00","1,768,333,244.00","179,193,325.00","42,738,000.00"
6/26/2015,"179,260,006.00","179,406,662.00","1,773,333,359.00","1,780,599,976.00","57,576,000.00"
6/29/2015,"1,746,333,313.00","1,772,999,954.00","1,737,999,916.00","1,746,800,041.00","52,183,500.00"
6/30/2015,"1,765,333,366.00","180,613,327.00","1,760,000,038.00","1,788,400,078.00","46,303,500.00"
7/1/2015,"180,739,994.00","1,817,466,736.00","1,785,666,656.00","1,794,333,267.00","31,518,000.00"
7/2/2015,"1,868,000,031.00","1,882,999,992.00","1,822,066,689.00","1,866,799,927.00","107,458,500.00"
7/6/2015,"1,859,199,905.00","1,877,933,311.00","1,842,000,008.00","1,864,800,072.00","61,828,500.00"
7/7/2015,"1,833,333,206.00","1,834,666,634.00","1,738,466,644.00","1,785,866,737.00","91,576,500.00"
7/8/2015,"1,728,800,011.00","1,738,666,725.00","1,695,400,047.00","1,699,733,353.00","93,316,500.00"
7/9/2015,"1,727,199,936.00","1,753,000,069.00","1,711,933,327.00","1,719,466,782.00","50,011,500.00"
7/10/2015,"1,748,133,278.00","1,753,333,282.00","1,718,799,973.00","1,727,666,664.00","39,163,500.00"
7/13/2015,"1,748,333,359.00","1,750,333,214.00","1,706,999,969.00","1,747,733,307.00","44,404,500.00"
7/14/2015,"1,747,333,336.00","1,773,266,792.00","1,736,733,246.00","1,770,999,908.00","28,614,000.00"
7/15/2015,"1,778,266,716.00","178,326,664.00","1,747,200,012.00","1,754,266,739.00","30,324,000.00"
7/16/2015,"1,761,466,789.00","1,781,333,351.00","1,754,400,063.00","1,777,866,745.00","24,240,000.00"
7/17/2015,"1,816,666,794.00","1,836,933,327.00","1,788,333,321.00","1,831,066,704.00","75,061,500.00"
7/20/2015,"1,833,333,206.00","1,911,000,061.00","181,693,325.00","1,881,733,322.00","74,677,500.00"
7/21/2015,"1,800,333,214.00","1,823,333,359.00","1,777,000,046.00","1,778,466,606.00","91,630,500.00"
7/22/2015,"1,741,799,927.00","1,796,266,747.00","1,739,066,696.00","178,579,998.00","46,575,000.00"
7/23/2015,"179,766,674.00","1,799,333,382.00","1,768,466,759.00","1,781,333,351.00","33,408,000.00"
7/24/2015,"1,782,533,264.00","1,807,266,617.00","1,759,466,743.00","1,769,400,024.00","42,547,500.00"
7/27/2015,"1,749,533,272.00","1,762,866,783.00","1,671,933,365.00","1,686,733,246.00","70,413,000.00"
7/28/2015,"1,704,999,924.00","1,769,333,267.00","1,678,933,334.00","176,546,669.00","58,437,000.00"
7/29/2015,"1,761,800,003.00","1,785,933,304.00","1,746,666,718.00","1,758,799,934.00","41,851,500.00"
7/30/2015,"175,126,667.00","1,779,599,953.00","1,747,400,093.00","177,859,993.00","30,519,000.00"
7/31/2015,"1,784,000,015.00","1,795,733,261.00","1,767,466,736.00","1,774,333,382.00","33,339,000.00"
8/3/2015,"1,775,266,647.00","1,778,066,635.00","1,713,800,049.00","173,326,664.00","38,302,500.00"
8/4/2015,"1,733,399,963.00","1,778,133,392.00","1,722,266,769.00","1,775,200,081.00","35,287,500.00"
8/5/2015,"175,720,005.00","1,806,666,756.00","1,736,000,061.00","1,800,866,699.00","93,214,500.00"
8/6/2015,"1,663,599,968.00",17.00,"1,574,133,301.00","1,640,866,661.00","219,357,000.00"
8/7/2015,"1,623,866,653.00","1,624,866,676.00","1,589,266,682.00","161,673,336.00","76,101,000.00"
8/10/2015,"1,587,666,702.00","1,619,799,995.00","1,573,666,668.00","1,607,600,021.00","62,788,500.00"
8/11/2015,"1,581,000,042.00","159,533,329.00","1,562,933,254.00","1,582,466,698.00","63,973,500.00"
8/12/2015,"1,566,666,698.00","1,598,466,682.00","1,551,599,979.00","1,587,800,026.00","55,920,000.00"
8/13/2015,"1,599,066,734.00","1,643,199,921.00","1,594,133,282.00","161,673,336.00","70,338,000.00"
8/14/2015,"1,648,266,792.00","1,652,866,745.00","1,611,800,003.00","1,620,999,908.00","65,472,000.00"
8/17/2015,"1,703,733,253.00","171,060,009.00","1,670,066,643.00","1,699,933,243.00","107,650,500.00"
8/18/2015,"170,253,334.00","1,739,666,748.00","1,690,399,933.00","173,813,324.00","62,925,000.00"
8/19/2015,"1,735,533,333.00","1,737,666,702.00","1,700,133,324.00","1,701,666,641.00","54,064,500.00"
8/20/2015,"1,680,400,085.00","1,697,066,689.00","1,612,666,702.00","1,614,533,234.00","73,587,000.00"
8/21/2015,"1,573,333,263.00","1,625,333,214.00","1,536,733,341.00","153,846,674.00","98,853,000.00"
8/24/2015,"1,351,933,289.00","1,542,666,721.00",13.00,"1,459,133,339.00","143,724,000.00"
8/25/2015,"1,536,800,003.00","1,539,333,344.00","146,079,998.00","1,466,866,684.00","64,909,500.00"
